Code,Label
491,Meningitis Due To Adenovirus
498,Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System
499,Unspecified Non-Arthropod-Borne Viral Diseases Of Central Nervous System
500,Variola Major
501,Alastrim
502,Modified Smallpox
509,"Smallpox, Unspecified"
510,Cowpox
511,Pseudocowpox
512,Contagious Pustular Dermatitis
519,"Paravaccinia, Unspecified"
529,Chickenpox
530,Herpes Zoster With Meningitis
531,Herpes Zoster With Other Nervous System Complications
532,Herpes Zoster With Ophthalmic Complications
537,Herpes Zoster With Other Complications
538,Herpes Zoster With Unspecified Complications
539,Herpes Zoster Without Mention Of Complications
540,Eczema Herpeticum
541,Genital Herpes
542,Herpetic Gingivostomatitis
543,Herpetic Meningoencephalitis
544,Herpes Simplex With Ophthalmic Complications
545,Herpetic Septicaemia
546,Herpetic Whitlow
547,Herpes Simplex With Other Complications
548,Herpes Simplex With Unspecified Complications
549,Herpes Simplex Without Mention Of Complication
550,Postmeasles Encephalitis
551,Postmeasles Pneumonia
552,Postmeasles Otitis
557,Measles With Other Complications
558,Measles With Unspecified Complications
559,Measles Without Mention Of Complication
560,Rubella With Neurological Complications
567,Rubella With Other Complications
568,Rubella With Unspecified Complications
569,Rubella Without Mention Of Complication
570,Erythema Infectiosum (Fifth Disease)
578,Other Viral Exanthemata
579,Unspecified Viral Exanthemata
600,Yellow Fever - Sylvatic
601,Yellow Fever - Urban
609,Yellow Fever - Unspecified
619,Dengue
620,Japanese Encephalitis
621,Western Equine Encephalitis
622,Eastern Equine Encephalitis
623,St. Louis Encephalitis
624,Australian Encephalitis
625,California Virus Encephalitis
628,Other Mosquito-Borne Viral Encephalitis
629,Unspecified Mosquito-Borne Viral Encephalitis
630,Russian Spring-Summer (Taiga) Encephalitis
631,Louping Ill
632,Central European Encephalitis
638,Other Tick-Borne Viral Encephalitis
639,Unspecified Tick-Borne Viral Encephalitis
649,Viral Encephalitis Transmitted By Other And Unspecified Arthropods
650,Crimean Haemorrhagic Fever (Chf Congo Virus)
651,Omsk Haemorrhagic Fever
652,Kyasanur Forest Haemorrhagic Fever
653,Other Tick-Borne Haemorrhagic Fever
654,Mosquito-Borne Haemorrhagic Fever
658,Other Arthropod-Borne Haemorrhagic Fever
659,Unspecified Arthropod-Borne Haemorrhagic Fever
660,Phlebotomus Fever
661,Tick-Borne Fever
662,Venezuelan Equine Fever
663,Other Mosquito-Borne Fever
668,Other Arthropod-Borne Viral Diseases
669,Unspecified Arthropod-Borne Viral Diseases
700,Viral Hepatitis A With Hepatic Coma
701,Viral Hepatitis A Without Mention Of Hepatic Coma
702,Viral Hepatitis B With Hepatic Coma
703,Viral Hepatitis B Without Mention Of Hepatic Coma
704,Other Specified Viral Hepatitis With Hepatic Coma
705,Other Specified Viral Hepatitis Without Mention Of Hepatic Coma
706,Unspecified Viral Hepatitis With Hepatic Coma
709,Unspecified Viral Hepatitis Without Mention Of Hepatic Coma
719,Rabies
720,Mumps Orchitis
721,Mumps Meningitis
722,Mumps Encephalitis
723,Mumps Pancreatitis
727,Mumps With Other Complications
728,Mumps With Unspecified Complications
729,Mumps Without Mention Of Complications
739,Ornithosis
740,Herpangina
741,Epidemic Pleurodynia
742,Coxsackie Carditis
743,"Hand, Foot And Mouth Disease"
748,Other Specific Diseases Due To Coxsackie Virus
759,Infectious Mononucleosis
760,"Trachoma, Initial Stage"
761,"Trachoma, Active Stage"
769,"Trachoma, Unspecified"
770,Inclusion Conjunctivitis
771,Epidemic Keratoconjunctivitis
772,Pharyngoconjunctival Fever
773,Other Adeno Viral Conjunctivitis
774,Epidemic Haemorrhagic Conjunctivitis
778,Other Viral Conjunctivitis
779,Unspecified Viral Conjunctivitis
780,Molluscum Contagiosum
781,Viral Warts
782,Sweating Fever
783,Cat-Scratch Disease
784,Foot And Mouth Disease
785,Cytomegalic Inclusion Disease
786,Haemorrhagic Nephrosonephritis
787,Arenaviral Haemorrhagic Fever
788,Other Diseases Due To Viruses And Chlamydiae
790,Adenovirus Infection
791,Echo Virus Infection
792,Coxsackie Virus Infection
793,Rhinovirus Infection
798,Other Specified Virus Infection
799,Unspecified Virus Infection
809,Louse-Borne (Epidemic) Typhus
810,Murine (Endemic) Typhus
811,Brill'S Disease
812,Scrub Typhus
819,Unspecified Typhus
820,Spotted Fevers
821,Boutonneuse Fever
822,North Asian Tick Fever
823,Queensland Tick Fever
828,Other Tick-Borne Rickettsioses
829,Unspecified Tick-Borne Rickettsioses
830,Q-Fever
831,Trench Fever
832,Rickettsialpox
838,Other Rickettsioses
839,Unspecified Rickettsioses
840,Falciparum Malaria (Malignant Tertian)
841,Vivax Malaria (Benign Tertian)
842,Quartan Malaria
843,Ovale Malaria
844,Other Malaria
845,Mixed Malaria
846,Unspecified Malaria
847,Induced Malaria
848,Blackwater Fever
849,Other Pernicious Complications Of Malaria
850,Visceral Leishmaniasis (Kala-Azar)
851,"Cutaneous, Urban Leishmaniasis"
852,"Cutaneous, Asian Desert Leishmaniasis"
853,"Cutaneous, Ethiopian Leishmaniasis"
854,"Cutaneous, American Leishmaniasis"
855,Mucocutaneous (American) Leishmaniasis
859,Unspecified Leishmaniasis
860,Chagas'S Disease With Heart Involvement
861,Chagas'S Disease With Other Organ Involvement
862,Chagas'S Disease Without Mention Of Organ Involvement
863,Gambian Trypanosomiasis
864,Rhodesian Trypanosomiasis
865,"African Trypanosomiasis, Unspecified"
869,Unspecified Trypanosomiasis
870,Louse-Borne Relapsing Fever
871,Tick-Borne Relapsing Fever
879,Unspecified Relapsing Fever
880,Bartonellosis
888,Other Arthropod-Born Diseases
889,Unspecified Arthropod-Borne Diseases
900,"Early Congenital Syphilis, Symptomatic"
901,"Early Congenital Syphilis, Latent"
902,"Early Congenital Syphilis, Unspecified"
903,Syphilitic Interstitial Keratitis
904,Juvenile Neurosyphilis
905,"Other Late Congenital Syphilis, Symptomatic"
906,"Late Congenital Syphilis, Latent"
907,"Late Congenital Syphilis, Unspecified"
909,"Congenital Syphilis, Unspecified"
910,Genital Syphilis (Primary)
911,Primary Anal Syphilis
912,Other Primary Syphilis
913,Secondary Syphilis Of Skin Or Mucous Membranes
914,Adenopathy Due To Secondary Syphilis
915,Uveitis Due To Secondary Syphilis
916,Secondary Syphilis Of Viscera And Bone
917,"Secondary Syphilis, Relapse"
918,Other Forms Of Secondary Syphilis
919,Unspecified Secondary Syphilis
920,"Early Syphilis, Latent, Serological Relapse After Treatment"
929,"Early Syphilis, Latent, Unspecified"
930,"Aneurysm Of Aorta, Specified As Syphilitic"
931,Syphilitic Aortitis
932,Syphilitic Endocarditis
938,Other Cardiovascular Syphilis
939,Unspecified Cardiovascular Syphilis
940,Tabes Dorsalis
941,General Paresis
942,Syphilitic Meningitis
943,Asymptomatic Neurosyphilis
948,Other Neurosyphilis
949,Unspecified Neurosyphilis
959,"Other Forms Of Late Syphilis, With Symptoms"
969,"Late Syphilis, Latent"
970,"Late Syphilis, Unspecified"
971,"Latent Syphilis, Unspecified"
979,"Syphilis, Unspecified"
980,Acute Gonococcal Infection Of Lower Genitourinary Tract
981,Acute Gonococcal Infection Of Upper Genitourinary Tract
982,Chronic Gonococcal Infection Of Lower Genitourinary Tract
983,Chronic Gonococcal Infection Of Upper Genitourinary Tract
984,Gonococcal Infection Of Eye
985,Gonococcal Infection Of Joint
986,Gonococcal Infections Of Pharynx
987,Gonococcal Infections Of Anus And Rectum
988,Gonococcal Infections Of Other Sites
990,Chancroid
991,Lymphogranuloma Venereum
992,Granuloma Inguinale
993,Reiter'S Disease
994,Other Nongonococcal Urethritis
998,Other Venereal Diseases
999,Unspecified Venereal Diseases
1000,Leptospirosis Icterohaemorrhagica
1008,Other Leptospirosis
1009,Unspecified Leptospirosis
1019,Vincent'S Angina
1020,Yaws - Initial Lesions
1021,Multiple Papillomata And Wet Crab Yaws
1022,Yaws - Other Early Skin Lesions
1023,Yaws - Hyperkeratosis
1024,Yaws - Gummata And Ulcers
1025,Yaws - Gangosa
1026,Yaws - Bone And Joint Lesions
1027,Yaws - Other Manifestations
1028,Latent Yaws
1029,"Yaws, Unspecified"
1030,"Pinta, Primary Lesions"
1031,"Pinta, Intermediate Lesions"
1032,"Pinta, Late Lesions"
1033,"Pinta, Mixed Lesions"
1039,"Pinta, Unspecified"
1040,Nonvenereal Endemic Syphilis
1048,Other Specified Spirochaetal Infection
1049,Unspecified Spirochaetal Infection
1100,Dermatophytosis Of Scalp And Beard
1101,Dermatophytosis Of Nail
1102,Dermatophytosis Of Hand
1103,Dermatophytosis Of Groin And Perianal Area
1104,Dermatophytosis Of Foot
1105,Dermatophytosis Of The Body
1106,Deep Seated Dermatophytosis
1108,Dermatophytosis Of Other Specified Sites
1109,Dermatophytosis Of Unspecified Site
1110,Pityriasis Versicolor
1111,Tinea Nigra
1112,Tinea Blanca
1113,Black Piedra
1118,Other Specified Dermatomycosis
1119,Unspecified Dermatomycosis
1120,Candidiasis Of Mouth
1121,Candidiasis Of Vulva And Vagina
1122,Candidiasis Of Other Urogenital Sites
1123,Candidiasis Of Skin And Nails
1124,Candidiasis Of Lung
1125,Disseminated Candidiasis
1128,Candidiasis Of Other Specified Sites
1129,Candidiasis Of Unspecified Site
1149,Coccidioidomycosis
1150,Histoplasmosis - Infection By Histoplasma Capsulatum
1151,Histoplasmosis - Infection By Histoplasma Duboisii
1159,Histoplasmosis - Unspecified
1160,Blastomycosis
1161,Paracoccidioidomycosis
1162,Lobomycosis
1170,Rhinosporidiosis
1171,Sporotrichosis
1172,Chromoblastomycosis
1173,Aspergillosis
1174,Mycotic Mycetomas
1175,Cryptococcosis
1176,Allescheriosis (Petriellidosis)
1177,Zygomycosis (Phycomycosis Or Mucormycosis)
1178,Infection By Dematiacious Fungi (Phaeohyphomycosis)
1179,Other And Unspecified Mycoses
1189,Opportunistic Mycoses
1200,Schistosoma Haematobium
1201,Schistosoma Mansoni
1202,Schistosoma Japonicum
1203,Cutaneous Schistosomiasis
1208,Other Specified Schistosomiasis
1209,Unspecified Schistosomiasis
1210,Opisthorchiasis
1211,Clonorchiasis
1212,Paragonimiasis
1213,Fascioliasis
1214,Fasciolopsiasis
1215,Metagonimiasis
1216,Heterophyiasis
1218,Other Specified Trematode Infection
1219,Unspecified Trematode Infection
1220,Echinococcus Granulosus Infection Of Liver
1221,Echinococcus Granulosus Infection Of Lung
1222,Echinococcus Granulosus Infection Of Thyroid
1223,"Echinococcus Granulosus Infection, Other Specified Site"
1224,"Echinococcus Granulosus Infection, Unspecified"
1225,Echinococcus Multilocularis Infection Of Liver
1226,"Echinococcus Multilocularis Infection, Other Specified Site"
1227,"Echinococcus Multilocularis Infection, Unspecified"
1228,"Echinococcosis, Unspecified, Of Liver"
1229,"Echinococcosis, Other And Unspecified"
1230,"Taenia Solium Infection, Intestinal Form"
1231,Cysticericosis
1232,Taenia Saginata Infection
1233,"Taeniasis, Unspecified"
1234,"Diphyllobothriasis, Intestinal"
1235,Sparganosis (Larval Diphyllobothriasis)
1236,Hymenolepiasis
1238,Other Specified Cestode Infection
1239,Unspecified Cestode Infection
1249,Trichinosis
1250,Bancroftian Filariasis
1251,Malayan Filariasis
1252,Loiasis
1253,Onchocerciasis
1254,Dipetalonemiasis
1255,Mansonella Ozzardi Infection
1256,Other Specified Filariasis
1257,Dracontiasis
1259,Unspecified Filariasis
1260,Ancylostoma Duodenale
1261,Necator Americanus
1262,Ancylostoma Braziliense
1263,Ancylostoma Ceylanicum
1268,Other Specified Ancylostoma
1269,Unspecified Ancylostomiasis And Necatoriasis
1270,Ascariasis
1271,Anisakiasis
1272,Strongyloidiasis
1273,Trichuriasis
1274,Enterobiasis
1275,Capillariasis
1276,Trichostrongyliasis
1277,Other Intestinal Helminthiasis
1278,Mixed Intestinal Helminthiasis
1279,"Intestinal Helminthiasis, Unspecified"
1280,Toxocariasis
1281,Gnathostomiasis
1288,Other Specified Helminthiasis
1289,Unspecified Helminthiasis
1299,"Intestinal Parasitism, Unspecified"
1309,Toxoplasmosis
1310,Urogenital Trichomoniasis
1318,Trichomoniasis Of Other Sites
1319,"Trichomoniasis, Unspecified"
1320,Pediculus Capitis (Head Louse) Infestation
1321,Pediculus Corporis (Body Louse) Infestation
1322,Phthirus Pubis (Pubic Louse) Infestation
1323,Mixed Pediculosis And Phthirus Infestation
1329,"Pediculosis, Unspecified"
1330,Scabies
1338,Other Specified Acariasis
1339,Unspecified Acariasis
1340,Myiasis
1341,Other Arthropod Infestation
1342,Hirudiniasis
1348,Other Specified Infestation
1349,Unspecified Infestation
1359,Sarcoidosis
1360,Ainhum
1361,Behcet'S Syndrome
1362,Specific Infections By Free-Living Amoeba
1363,Pneumocystosis
1364,Psorospermiasis
1365,Sarcosporidiosis
1368,Other Specified Infectious And Parasitic Diseases
1369,Unspecified Infectious And Parasitic Diseases
1370,Late Effects Of Respiratory Or Unspecified Tuberculosis
1371,Late Effects Of Central Nervous System Tuberculosis
1372,Late Effects Of Genitourinary Tuberculosis
1373,Late Effects Of Tuberculosis Of Bones And Joints
1374,Late Effects Of Tuberculosis Of Other Specified Organs
1389,Late Effects Of Acute Poliomyelitis
1390,Late Effects Of Viral Encephalitis
1391,Late Effects Of Trachoma
1398,Late Effects Of Other And Unspecified Infectious And Parasitic Disease
1400,"Malignant Neoplasm Of Upper Lip, Vermilion Border"
1401,"Malignant Neoplasm Of Lower Lip, Vermilion Border"
1403,"Malignant Neoplasm Of Upper Lip, Inner Aspect"
1404,"Malignant Neoplasm Of Lower Lip, Inner Aspect"
1405,"Malignant Neoplasm Of Lip, Unspecified, Inner Aspect"
1406,Malignant Neoplasm Of Commissure Of Lip
1408,"Malignant Neoplasm Of Lip, Other"
1409,"Malignant Neoplasm Of Lip, Unspecified, Vermilion Border"
1410,Malignant Neoplasm Of Base Of Tongue
1411,Malignant Neoplasm Of Dorsal Surface Of Tongue
1412,Malignant Neoplasm Of Tip And Lateral Border Of Tongue
1413,Malignant Neoplasm Of Ventral Surface Of Tongue
1414,"Malignant Neoplasm Of Anterior Two-Thirds Of Tongue, Part Unspecified"
1415,Malignant Neoplasm Of Junctional Zone Of Tongue
1416,Malignant Neoplasm Of Lingual Tonsil
1418,"Malignant Neoplasm Of Tongue, Other"
1419,"Malignant Neoplasm Of Tongue, Unspecified"
1420,Malignant Neoplasm Of Parotid Gland
1421,Malignant Neoplasm Of Submandibular Gland
1422,Malignant Neoplasm Of Sublingual Gland
1428,"Malignant Neoplasm Of Major Salivary Glands, Other"
1429,"Malignant Neoplasm Of Major Salivary Glands, Unspecified"
1430,Malignant Neoplasm Of Upper Gum
1431,Malignant Neoplasm Of Lower Gum
1438,"Malignant Neoplasm Of Gum, Other"
1439,"Malignant Neoplasm Of Gum, Unspecified"
1440,Malignant Neoplasm Of Anterior Portion Of Floor Of Mouth
1441,Malignant Neoplasm Of Lateral Portion Of Floor Of Mouth
1448,"Malignant Neoplasm Of Floor Of Mouth, Other"
1449,"Malignant Neoplasm Of Floor Of Mouth, Unspecified"
1450,Malignant Neoplasm Of Cheek Mucosa
1451,Malignant Neoplasm Of Vestibule Of Mouth
1452,Malignant Neoplasm Of Hard Palate
1453,Malignant Neoplasm Of Soft Palate
1454,Malignant Neoplasm Of Uvula
1455,"Malignant Neoplasm Of Palate, Unspecified"
1456,Malignant Neoplasm Of Retromolar Area
1458,Malignant Neoplasm Of Other Specified Parts Of Mouth
1459,"Malignant Neoplasm Of Mouth, Unspecified"
1460,Malignant Neoplasm Of Tonsil
1461,Malignant Neoplasm Of Tonsillar Fossa
1462,Malignant Neoplasm Of Tonsillar Pillars (Anterior) (Posterior)
1463,Malignant Neoplasm Of Vallecula
1464,Malignant Neoplasm Of Anterior Aspect Of Epiglottis
1465,Malignant Neoplasm Of Junctional Region Of Oropharynx
1466,Malignant Neoplasm Of Lateral Wall Of Oropharynx
1467,Malignant Neoplasm Of Posterior Wall Of Oropharynx
1468,"Malignant Neoplasm Of Oropharynx, Other"
1469,"Malignant Neoplasm Of Oropharynx, Unspecified"
1470,"Malignant Neoplasm Of Nasopharynx, Superior Wall"
1471,"Malignant Neoplasm Of Nasopharynx, Posterior Wall"
1472,"Malignant Neoplasm Of Nasopharynx, Lateral Wall"
1473,"Malignant Neoplasm Of Nasopharynx, Anterior Wall"
1478,"Malignant Neoplasm Of Nasopharynx, Other"
1479,"Malignant Neoplasm Of Nasopharynx, Unspecified"
1480,"Malignant Neoplasm Of Hypopharynx, Postcricoid Region"
1481,"Malignant Neoplasm Of Hypopharynx, Pyriform Sinus"
1482,"Malignant Neoplasm Of Aryepiglottic Fold, Hypopharyngeal Aspect"
1483,Malignant Neoplasm Of Posterior Hypopharyngeal Wall
1488,"Malignant Neoplasm Of Hypopharynx, Other"
1489,"Malignant Neoplasm Of Hypopharynx, Unspecified"
1490,"Malignant Neoplasm Of Pharynx, Unspecified"
1491,Malignant Neoplasm Of Waldeyer'S Ring
1498,"Malignant Neoplasm Of Other Sites Within The Lip, Oral Cavity And Pharynx"
1499,"Malignant Neoplasm Of Ill-Defined Sites In Lip, Oral Cavity, Pharynx"
1500,"Malignant Neoplasm Of Oesophagus, Cervical Part"
1501,"Malignant Neoplasm Of Oesophagus, Thoracic Part"
1502,"Malignant Neoplasm Of Oesophagus, Abdominal Part"
1503,"Malignant Neoplasm Of Oesophagus, Upper Third"
1504,"Malignant Neoplasm Of Oesophagus, Middle Third"
1505,"Malignant Neoplasm Of Oesophagus, Lower Third"
1508,"Malignant Neoplasm Of Oesophagus, Other"
1509,"Malignant Neoplasm Of Oesophagus, Unspecified"
1510,"Malignant Neoplasm Of Stomach, Cardia"
1511,"Malignant Neoplasm Of Stomach, Pylorus"
1512,"Malignant Neoplasm Of Stomach, Pyloric Antrum"
1513,Malignant Neoplasm Of Fundus Of Stomach
1514,Malignant Neoplasm Of Body Of Stomach
1515,"Malignant Neoplasm Of Stomach, Lesser Curvature, Unspecified"
1516,"Malignant Neoplasm Of Stomach, Greater Curvature, Unspecified"
1518,"Malignant Neoplasm Of Stomach, Other"
1519,"Malignant Neoplasm Of Stomach, Unspecified"
1520,Malignant Neoplasm Of Duodenum
1521,Malignant Neoplasm Of Jejunum
1522,Malignant Neoplasm Of Ileum
1523,Malignant Neoplasm Of Meckel'S Diverticulum
1528,"Malignant Neoplasm Of Small Intestine, Other"
1529,"Malignant Neoplasm Of Small Intestine, Unspecified"
1530,"Malignant Neoplasm Of Colon, Hepatic Flexure"
1531,Malignant Neoplasm Of Transverse Colon
1532,Malignant Neoplasm Of Descending Colon
1533,Malignant Neoplasm Of Sigmoid Colon
1534,Malignant Neoplasm Of Caecum
1535,Malignant Neoplasm Of Appendix
1536,Malignant Neoplasm Of Ascending Colon
1537,"Malignant Neoplasm Of Colon, Splenic Flexure"
1538,"Malignant Neoplasm Of Colon, Other"
1539,"Malignant Neoplasm Of Colon, Unspecified"
1540,Malignant Neoplasm Of Rectosigmoid Junction
1541,Malignant Neoplasm Of Rectum
1542,Malignant Neoplasm Of Anal Canal
1543,"Malignant Neoplasm Of Anus, Unspecified"
1548,"Malignant Neoplasm Of Rectum, Rectosigmoid Junction And Anus, Other"
1550,"Malignant Neoplasm Of Liver, Primary"
1551,Malignant Neoplasm Of Intrahepatic Bile Ducts
1552,"Malignant Neoplasm Of Liver, Not Specified As Primary Or Secondary"
1560,Malignant Neoplasm Of Gallbladder
1561,Malignant Neoplasm Of Extrahepatic Bile Ducts
1562,Malignant Neoplasm Of Ampulla Of Vater
1568,"Malignant Neoplasm Of Gallbladder And Extrahepatic Bile Ducts, Other"
1569,"Malignant Neoplasm Of Biliary Tract, Part Unspecified"
1570,Malignant Neoplasm Of Head Of Pancreas
1571,Malignant Neoplasm Of Body Of Pancreas
1572,Malignant Neoplasm Of Tail Of Pancreas
1573,Malignant Neoplasm Of Pancreatic Duct
1574,Malignant Neoplasm Of Islets Of Langerhans
1578,"Malignant Neoplasm Of Pancreas, Other"
1579,"Malignant Neoplasm Of Pancreas, Part Unspecified"
1580,Malignant Neoplasm Of Retroperitoneum
1588,Malignant Neoplasm Of Specified Parts Of Peritoneum
1589,"Malignant Neoplasm Of Peritoneum, Unspecified"
1590,"Malignant Neoplasm Of Intestinal Tract, Part Unspecified"
1591,"Malignant Neoplasm Of Spleen, Not Elsewhere Classified"
1598,Malignant Neoplasm Of Other Sites Within Digestive Organs And Peritoneum
1599,"Malignant Neoplasm Of Ill-Defined Sites In Digestive Organs, Peritoneum"
1600,Malignant Neoplasm Of Nasal Cavities
